annotation_approver,id,label,text,user
,66265,110,"Agradecimiento, Saludo, Agradecimiento, Orden Amistosa",1
,66266,109,"Saludo, Rechazo, Saludo",1
,66267,108,"Orden Amistosa, Agradecimiento, Amenaza, Orden Amistosa, Pedir Disculpas, Amenaza, Amenaza, Saludo, Saludo",1
,66268,109,"Agradecimiento, Pedir Disculpas, Agradecimiento, Pedir Disculpas, Pedir Disculpas, Orden Amistosa, Agradecimiento, Pedir Disculpas, Insulto",1
,66269,108,"Saludo, Aprobacion, Orden Amenazante, Aprobacion",1
,66270,108,"Aprobacion, Orden Amenazante, Orden Amenazante, Amenaza, Aprobacion, Pedir Disculpas, Agradecimiento, Pedir Disculpas, Amenaza",1
,66271,110,Saludo,1
,66272,110,"Orden Amistosa, Agradecimiento, Saludo, Saludo",1
,66273,109,"Saludo, Saludo, Rechazo, Rechazo, Agradecimiento, Aprobacion, Saludo, Aprobacion, Rechazo",1
,66274,110,Pedir Disculpas,1
,66275,108,"Aprobacion, Orden Amenazante, Aprobacion, Saludo, Orden Amistosa, Rechazo, Amenaza, Saludo",1
,66276,108,"Insulto, Rechazo, Aprobacion, Orden Amistosa, Orden Amenazante, Saludo, Pedido de ayuda, Orden Amenazante, Aprobacion, Orden Amistosa",1
,66277,108,"Orden Amenazante, Agradecimiento, Orden Amistosa, Pedido de ayuda, Insulto, Orden Amistosa, Pedir Disculpas",1
,66278,110,"Pedir Disculpas, Aprobacion, Agradecimiento",1
,66279,108,"Saludo, Rechazo, Aprobacion, Pedido de ayuda",1
,66280,107,"Agradecimiento, Saludo, Aprobacion, Pedir Disculpas, Aprobacion, Orden Amistosa, Saludo, Amenaza, Orden Amistosa",1
,66281,108,"Pedir Disculpas, Orden Amenazante, Agradecimiento, Aprobacion, Orden Amistosa, Aprobacion, Orden Amistosa, Orden Amenazante",1
,66282,107,"Rechazo, Saludo, Orden Amistosa, Insulto, Orden Amistosa, Pedir Disculpas, Aprobacion",1
,66283,110,Aprobacion,1
,66284,109,"Aprobacion, Orden Amistosa, Insulto, Pedir Disculpas, Saludo, Saludo, Saludo, Rechazo, Saludo, Pedir Disculpas",1
,66285,110,"Pedir Disculpas, Orden Amistosa, Aprobacion, Aprobacion, Saludo, Aprobacion, Agradecimiento, Agradecimiento",1
,66286,107,"Pedir Disculpas, Amenaza, Amenaza, Saludo, Saludo, Insulto, Pedir Disculpas, Saludo, Aprobacion, Rechazo",1
,66287,110,"Agradecimiento, Orden Amistosa, Agradecimiento",1
,66288,108,"Orden Amistosa, Orden Amenazante, Aprobacion, Orden Amistosa, Rechazo, Saludo, Aprobacion, Orden Amenazante",1
,66289,107,"Insulto, Pedir Disculpas, Amenaza, Saludo, Orden Amistosa, Saludo, Aprobacion, Pedir Disculpas, Pedir Disculpas, Pedir Disculpas",1
,66290,107,"Saludo, Orden Amenazante, Agradecimiento, Agradecimiento, Aprobacion, Amenaza, Agradecimiento",1
,66291,109,"Pedir Disculpas, Insulto, Rechazo, Saludo",1
,66292,107,"Orden Amistosa, Pedir Disculpas, Amenaza",1
,66293,107,"Rechazo, Agradecimiento, Orden Amistosa, Rechazo, Pedido de ayuda, Agradecimiento, Aprobacion, Rechazo, Saludo",1
,66294,107,"Pedido de ayuda, Insulto, Aprobacion, Agradecimiento, Orden Amistosa, Agradecimiento, Pedir Disculpas",1
,66295,107,"Agradecimiento, Pedido de ayuda",1
,66296,108,"Orden Amenazante, Rechazo, Pedido de ayuda, Aprobacion, Orden Amistosa, Amenaza, Agradecimiento, Agradecimiento, Agradecimiento",1
,66297,109,"Orden Amistosa, Orden Amistosa, Saludo, Rechazo, Agradecimiento",1
,66298,109,"Orden Amistosa, Saludo, Aprobacion, Pedir Disculpas, Rechazo, Agradecimiento",1
,66299,109,"Rechazo, Rechazo, Saludo, Orden Amistosa, Agradecimiento, Saludo, Saludo",1
,66300,109,"Rechazo, Agradecimiento, Aprobacion, Agradecimiento, Pedir Disculpas, Orden Amistosa, Insulto, Aprobacion",1
